institution,publisher,collection,years,lengthofagreement,packageprice,carnegiebasicclassification,fte,source,url,notes,value,gbpvalue,usdvalue,createdAt,created_date,_id
Western University,American Mathematical Society (AMS),MathSciNet and Consortium Database Fees,2017,1 year,"$9,756 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,9756,5560,7317,1.61237E+12,2021-02-03 1718.00,YbNekkHouHkSbS6ZD
Western University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862,8471,11146,1.61237E+12,2021-02-03 1718.00,iSmn86k4eFkjBxsHF
Western University,Oxford University Press (OUP),Oxford Journals Online,2017,1 year,"$96,268 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,96268,54872,72201,1.61237E+12,2021-02-03 1718.00,vYRTfmgjaf5FpHfGo
Western University,Taylor & Francis,Taylor & Francis Online Journals,2017,1 year,"$39,112 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,39112,22293,29334,1.61237E+12,2021-02-03 1718.00,NHiJ4kyF7PTQZbpDv
Western University,Elsevier,ScienceDirect,2018,1 year,"$287,720 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,287720,164000,215790,1.61237E+12,2021-02-03 1718.00,suayjjouSNfqYtMty
Western University,American Institute of Physics Publishing (AIPP),Unclassified,2018,1 year,"$63,246 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,63246,36050,47434,1.61237E+12,2021-02-03 1718.00,6bNtZsb7Z73hb5Hrx
Western University,Springer Nature,SpringerLink,2019,1 year,"$569,092 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,569092,324382,426819,1.61237E+12,2021-02-03 1718.00,AGHndFRtzcvj6swas
Western University,Sage,Unclassified,2019,1 year,"$293,789 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,293789,167459,220341,1.61237E+12,2021-02-03 1718.00,WZFBSzz9appC9ojNj
Western University,Cambridge University Press (CUP),Unclassified,2019,1 year,"$97,576 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,97576,55618,73182,1.61237E+12,2021-02-03 1718.00,mAB6zPHvoLtQFg4tJ
York University,CAIRN,CAIRN Bouquet Général e-journals,2017,1 year,"$10,939 ",N/A,52050,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,10939,6235,8204,1.61237E+12,2021-02-03 1718.00,d9NiTCvbSdAXyyoZE
York University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",N/A,52050,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862,8471,11146,1.61237E+12,2021-02-03 1718.00,KdQnH8PGokM4hL8N5
Cornell University,Elsevier,Unclassified,2015,1 year,"$2,721,383 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,2721383,2095464,2721383,1.61237E+12,2021-02-03 1718.00,MiM7poZrjiSkcgxhA
Cornell University,Springer Nature,Unclassified,2015,1 year,"$406,466 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,406466,312978,406466,1.61237E+12,2021-02-03 1718.00,FhQGtFmQnjjNhjff5
Cornell University,American Chemical Society (ACS),Unclassified,2015,1 year,"$127,208 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,127208,97950,127208,1.61237E+12,2021-02-03 1718.00,ptAbLQ47rmh8SFz2p
Cornell University,Elsevier,Unclassified,2017,1 year,"$3,308,057 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,3308057,2547203,3308057,1.61237E+12,2021-02-03 1718.00,KeEeKhYwdMbDqBhn6
Cornell University,Lippincott Williams & Wilkins/Wolters Kluwer,Unclassified,2018,1 year,"$82,650 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,82650,63640,82650,1.61237E+12,2021-02-03 1718.00,tEvQHs7yCKm7SkndP
Alabama A&M University,Elsevier,Unclassified,2009,1 year,"$292,883 ",M1 (Master's Colleges and Universities – Larger programs),6448,Freedom of Information Request,,,292883,225519,292883,1.61237E+12,2021-02-03 1718.00,LJwBEtywxRfDsMkCS
Alabama State University,Elsevier,Unclassified,2012,1 year,"$126,692 ",M2 (Master's Colleges and Universities – Medium programs),5296,Freedom of Information Request,,,126692,97552,126692,1.61237E+12,2021-02-03 1718.00,xs5niCG2wvvCTnMGt
Antioch University MIdwest,Oxford University Press (OUP),Unclassified,2014,1 year,"$2,446 ",Special Focus Four-Year (Other Special Focus Institutions),,Freedom of Information Request,,,2446,1883,2446,1.61237E+12,2021-02-03 1718.00,SW22Yu2MKTDGpKKTH
Ashland University,American Chemical Society (ACS),Unclassified,2014,1 year,"$1,707 ",D/PU (Doctoral/Professional Universities),37724,Freedom of Information Request,,,1707,1314,1707,1.61237E+12,2021-02-03 1718.00,hDy449pbHNCtB7hAf
Baldwin Wallace University,Wiley,Unclassified,2014,1 year,"$16,977 ",M1 (Master's Colleges and Universities – Larger programs),4284,Freedom of Information Request,,,16977,13072,16977,1.61237E+12,2021-02-03 1718.00,grdRMv25wYp6fTEpa
Barry University,Sage,Unclassified,2014,1 year,"$138,013 ",D/PU (Doctoral/Professional Universities),7064,Freedom of Information Request,,,138013,106270,138013,1.61237E+12,2021-02-03 1718.00,vpEdTS8A645WKGErA
