,institution,publisher,collection,years,lengthofagreement,packageprice,carnegiebasicclassification,fte,source,url,notes,value,gbpvalue,usdvalue,createdAt,created_date,_id,Latitude,Longitude
0,Western University,American Mathematical Society (AMS),MathSciNet and Consortium Database Fees,2017,1 year,"$9,756 ",,30200.0,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,9756.0,5560.0,7317.0,1612370000000.0,2021-02-03 1718.00,YbNekkHouHkSbS6ZD,43.0096 N,81.2737 W
1,Western University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",,30200.0,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862.0,8471.0,11146.0,1612370000000.0,2021-02-03 1718.00,iSmn86k4eFkjBxsHF,43.0096 N,81.2737 W
2,Western University,Oxford University Press (OUP),Oxford Journals Online,2017,1 year,"$96,268 ",,30200.0,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,96268.0,54872.0,72201.0,1612370000000.0,2021-02-03 1718.00,vYRTfmgjaf5FpHfGo,43.0096 N,81.2737 W
3,Western University,Taylor & Francis,Taylor & Francis Online Journals,2017,1 year,"$39,112 ",,30200.0,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,39112.0,22293.0,29334.0,1612370000000.0,2021-02-03 1718.00,NHiJ4kyF7PTQZbpDv,43.0096 N,81.2737 W
4,Western University,Elsevier,ScienceDirect,2018,1 year,"$287,720 ",,30200.0,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,287720.0,164000.0,215790.0,1612370000000.0,2021-02-03 1718.00,suayjjouSNfqYtMty,43.0096 N,81.2737 W
5,Western University,American Institute of Physics Publishing (AIPP),Unclassified,2018,1 year,"$63,246 ",,30200.0,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,63246.0,36050.0,47434.0,1612370000000.0,2021-02-03 1718.00,6bNtZsb7Z73hb5Hrx,43.0096 N,81.2737 W
6,Western University,Springer Nature,SpringerLink,2019,1 year,"$569,092 ",,30200.0,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,569092.0,324382.0,426819.0,1612370000000.0,2021-02-03 1718.00,AGHndFRtzcvj6swas,43.0096 N,81.2737 W
7,Western University,Sage,Unclassified,2019,1 year,"$293,789 ",,30200.0,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,293789.0,167459.0,220341.0,1612370000000.0,2021-02-03 1718.00,WZFBSzz9appC9ojNj,43.0096 N,81.2737 W
8,Western University,Cambridge University Press (CUP),Unclassified,2019,1 year,"$97,576 ",,30200.0,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,97576.0,55618.0,73182.0,1612370000000.0,2021-02-03 1718.00,mAB6zPHvoLtQFg4tJ,43.0096 N,81.2737 W
9,York University,CAIRN,CAIRN Bouquet Général e-journals,2017,1 year,"$10,939 ",,52050.0,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,10939.0,6235.0,8204.0,1612370000000.0,2021-02-03 1718.00,d9NiTCvbSdAXyyoZE,43.7735 N,79.5019 W
10,York University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",,52050.0,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862.0,8471.0,11146.0,1612370000000.0,2021-02-03 1718.00,KdQnH8PGokM4hL8N5,43.7735 N,79.5019 W
